Solar,Andaman and Nicobar Islands,29.91
Small-Hydro,Andaman and Nicobar Islands,5.25
Bio Power,Andaman and Nicobar Islands,0
Hydro,Andaman and Nicobar Islands,0
Oil & Gas,Andaman and Nicobar Islands,0
Coal,Andaman and Nicobar Islands,0
Wind,Andaman and Nicobar Islands,0
Nuclear,Andaman and Nicobar Islands,0
,,
Solar,Andhra Pradesh,4566.85
Small-Hydro,Andhra Pradesh,163.31
Bio Power,Andhra Pradesh,566.39
Hydro,Andhra Pradesh,1610
Oil & Gas,Andhra Pradesh,4898.544
Coal,Andhra Pradesh,13190
Wind,Andhra Pradesh,4096.65
Nuclear,Andhra Pradesh,0
,,
Solar,Arunachal Pradesh,11.79
Small-Hydro,Arunachal Pradesh,133.105
Bio Power,Arunachal Pradesh,0
Hydro,Arunachal Pradesh,1259.795
Oil & Gas,Arunachal Pradesh,0
Coal,Arunachal Pradesh,0
Wind,Arunachal Pradesh,0
Nuclear,Arunachal Pradesh,0
,,
Solar,Assam,155.8
Small-Hydro,Assam,34.11
Bio Power,Assam,2
Hydro,Assam,350
Oil & Gas,Assam,597.355
Coal,Assam,750
Wind,Assam,0
Nuclear,Assam,0
,,
Solar,Bihar,223.55
Small-Hydro,Bihar,70.7
Bio Power,Bihar,126.02
Hydro,Bihar,0
Oil & Gas,Bihar,0
Coal,Bihar,9060
Wind,Bihar,0
Nuclear,Bihar,0
,,
Solar,Chandigarh,64.05
Small-Hydro,Chandigarh,0
Bio Power,Chandigarh,0
Hydro,Chandigarh,0
Oil & Gas,Chandigarh,0
Coal,Chandigarh,0
Wind,Chandigarh,0
Nuclear,Chandigarh,0
,Chandigarh,0
,,0
Solar,Chhattisgarh,1204.01
Small-Hydro,Chhattisgarh,76
Bio Power,Chhattisgarh,275
Hydro,Chhattisgarh,120
Oil & Gas,Chhattisgarh,0
Coal,Chhattisgarh,23688
Wind,Chhattisgarh,0
Nuclear,Chhattisgarh,0
,,
Solar,Dadra and Nagar Haveli,5.46
Small-Hydro,Dadra and Nagar Haveli,0
Bio Power,Dadra and Nagar Haveli,0
Hydro,Dadra and Nagar Haveli,0
Oil & Gas,Dadra and Nagar Haveli,0
Coal,Dadra and Nagar Haveli,0
Wind,Dadra and Nagar Haveli,0
Nuclear,Dadra and Nagar Haveli,0
,,
Solar,Daman and Diu,41.01
Small-Hydro,Daman and Diu,0
Bio Power,Daman and Diu,0
Hydro,Daman and Diu,0
Oil & Gas,Daman and Diu,0
Coal,Daman and Diu,0
Wind,Daman and Diu,0
Nuclear,Daman and Diu,0
,,
Solar,Delhi,237.29
Small-Hydro,Delhi,0
Bio Power,Delhi,84
Hydro,Delhi,0
Oil & Gas,Delhi,2208.4
Coal,Delhi,0
Wind,Delhi,0
Nuclear,Delhi,0
,,
Solar,Goa,35.76
Small-Hydro,Goa,0.05
Bio Power,Goa,1.94
Hydro,Goa,0
Oil & Gas,Goa,48
Coal,Goa,0
Wind,Goa,0
Nuclear,Goa,0
,,
Solar,Gujarat,10760.97
Small-Hydro,Gujarat,91.64
Bio Power,Gujarat,112.48
Hydro,Gujarat,1990
Oil & Gas,Gujarat,7696.41
Coal,Gujarat,16092
Wind,Gujarat,11249.02
Nuclear,Gujarat,1140
,,
Solar,Haryana,1323.61
Small-Hydro,Haryana,73.5
Bio Power,Haryana,265.7
Hydro,Haryana,0
